,Id,JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits,Year,Notes,Agency,Status,gender
122848,122849,patient care assistant,67948.02,28776.89,2358.3,29173.63,99083.21,128256.84,2014,,San Francisco,FT,
132198,132199,deputy probation officer sfers,62867,0,0,28238.9,62867,91105.9,2014,,San Francisco,FT,male
114172,114173,police officer 3,118186.03,19688.51,12126.8,38854.73,150001.34,188856.07,2014,,San Francisco,FT,
122974,122975,senior street inspector,89576,4570.01,0,33439.52,94146.01,127585.53,2014,,San Francisco,FT,male
111770,111771,attorney (civil/criminal),177339,0,1312.5,52027.59,178651.5,230679.09,2014,,San Francisco,FT,
126321,126322,firefighter,66846.46,10877.41,3908.4,30594.89,81632.27,112227.16,2014,,San Francisco,FT,male
131565,131566,health worker 3,61514.1,0,3105,28786.79,64619.1,93405.89,2014,,San Francisco,FT,
136251,136252,home health aide,43497.69,2719.58,2340.06,25799.67,48557.33,74357,2014,,San Francisco,FT,
115933,115934,car and auto painter,78672,45512.6,14697.48,33945.35,138882.08,172827.43,2014,,San Francisco,FT,
113283,113284,sheriff's lieutenant,130499.05,5619.33,20097.64,43634.37,156216.02,199850.39,2014,,San Francisco,FT,
134026,134027,clerk typist,57079.42,0,624,27413.54,57703.42,85116.96,2014,,San Francisco,FT,female
117148,117149,deputy sheriff,94191,15449.26,15583.89,38126.8,125224.15,163350.95,2014,,San Francisco,FT,male
130045,130046,medical records technician,68892.31,0,1340.4,29130.76,70232.71,99363.47,2014,,San Francisco,FT,male
133786,133787,cement mason,70002.77,765.22,10,15285.98,70777.99,86063.97,2014,,San Francisco,FT,
119640,119641,is business analyst-senior,108561.01,0,0,37051.06,108561.01,145612.07,2014,,San Francisco,FT,
112839,112840,manager vi,150988.75,0,0,56350.91,150988.75,207339.66,2014,,San Francisco,FT,female
126369,126370,transit operator,66613.65,8608.84,1879.71,35006.57,77102.2,112108.77,2014,,San Francisco,FT,
118261,118262,transit operator,66751.07,42897.32,7970.62,36856.58,117619.01,154475.59,2014,,San Francisco,FT,male
133249,133250,custodian,54703,2733.36,3564.52,26592.49,61000.88,87593.37,2014,,San Francisco,FT,
119395,119396,accountant iv,109960.02,0,0,37349.82,109960.02,147309.84,2014,,San Francisco,FT,
129789,129790,library technical assistant 1,70348.02,0,624,29373.94,70972.02,100345.96,2014,,San Francisco,FT,
135049,135050,custodian,52922.01,582.3,0,27783.65,53504.31,81287.96,2014,,San Francisco,FT,
134058,134059,medical evaluations assistant,56460.96,0,1470,27029.29,57930.96,84960.25,2014,,San Francisco,FT,
134153,134154,custodian,54703,3244.43,685.98,25960.03,58633.41,84593.44,2014,,San Francisco,FT,
113251,113252,is engineer-principal,138270.3,0,18679.2,43368.52,156949.5,200318.02,2014,,San Francisco,FT,
131072,131073,transit operator,60618.25,1852.91,971.04,31668.21,63442.2,95110.41,2014,,San Francisco,FT,female
128503,128504,community police services aide,65478.41,2128.91,7433.49,29751.13,75040.81,104791.94,2014,,San Francisco,FT,female
128255,128256,customer service agent,71339,1721.81,2629.27,30020.19,75690.08,105710.27,2014,,San Francisco,FT,female
127297,127298,management assistant,77908,0,0,30889.74,77908,108797.74,2014,,San Francisco,FT,female
122846,122847,protective services worker,89455.97,0,5063.24,33744.35,94519.21,128263.56,2014,,San Francisco,FT,female
115512,115513,police officer 3,118440.73,17665.02,1307.08,38732.12,137412.83,176144.95,2014,,San Francisco,FT,female
117110,117111,senior physical therapist,122409.03,0,100,41233.91,122509.03,163742.94,2014,,San Francisco,FT,female
111140,111141,physician specialist,192091,0,3375,54874.23,195466,250340.23,2014,,San Francisco,FT,female
110549,110550,dept head v,279839.22,0,2164.54,82884.27,282003.76,364888.03,2014,,San Francisco,FT,female
123166,123167,housing inspector,91630.85,139.65,0,34816.83,91770.5,126587.33,2014,,San Francisco,FT,female
116286,116287,registered nurse,125849,6583.2,1595.47,36074.04,134027.67,170101.71,2014,,San Francisco,FT,female
113702,113703,dep dir iii,141405.23,0,0,53643.57,141405.23,195048.8,2014,,San Francisco,FT,female
130252,130253,librarian 1,68079.09,0,853.55,29543.59,68932.64,98476.23,2014,,San Francisco,FT,female
117905,117906,transit supervisor,85852.8,33488.68,4313.36,33628.93,123654.84,157283.77,2014,,San Francisco,FT,female
126687,126688,executive secretary 2,78914.01,0,0,31898.64,78914.01,110812.65,2014,,San Francisco,FT,female
124910,124911,utility analyst,85462.04,0,0,32540.56,85462.04,118002.6,2014,,San Francisco,FT,female
122577,122578,health program coordinator 3,95190.56,0,0,34242.05,95190.56,129432.61,2014,,San Francisco,FT,female
120251,120252,deputy probation officer,95972.49,11617.14,0,33763.95,107589.63,141353.58,2014,,San Francisco,FT,female
121068,121069,curator 4,100943,0,0,35923.91,100943,136866.91,2014,,San Francisco,FT,female
110771,110772,dep dir v,205142.46,0,0,66955.23,205142.46,272097.69,2014,,San Francisco,FT,female
123685,123686,sr cent proc & dist tech,87200.01,2929.73,824,33056.83,90953.74,124010.57,2014,,San Francisco,FT,female
125581,125582,eligibility worker supervisor,79240.33,5291.93,0,30625.62,84532.26,115157.88,2014,,San Francisco,FT,female
122694,122695,hospital elig wrk supervisor,91043.05,2771.12,1145,33979.91,94959.17,128939.08,2014,,San Francisco,FT,female
123298,123299,deputy probation officer,93951.49,0,0,31912.11,93951.49,125863.6,2014,,San Francisco,FT,female
122615,122616,protective services worker,94691.03,0,0,34559.75,94691.03,129250.78,2014,,San Francisco,FT,female
115193,115194,sheriff's sergeant,113866.04,7778.58,15631.04,41702.66,137275.66,178978.32,2014,,San Francisco,FT,female
111258,111259,project manager 4,190189.03,0,0,54486.12,190189.03,244675.15,2014,,San Francisco,FT,female
126412,126413,illustrator and art designer,80471.02,0,0,31449.76,80471.02,111920.78,2014,,San Francisco,FT,female
114564,114565,engineer,140474.1,0,0,43867.45,140474.1,184341.55,2014,,San Francisco,FT,female
131668,131669,principal clerk,63971.8,0,541.04,28617.89,64512.84,93130.73,2014,,San Francisco,FT,female
113686,113687,firefighter,106379.71,29679.48,18413.01,40737.7,154472.2,195209.9,2014,,San Francisco,FT,female
114793,114794,police officer 3,118898.03,17100.96,7077.97,39422.84,143076.96,182499.8,2014,,San Francisco,FT,female
129061,129062,senior clerk typist,59728.03,15507.55,624,27052.98,75859.58,102912.56,2014,,San Francisco,FT,female
127042,127043,transit car cleaner,60771,10447.87,9187.51,29151.71,80406.38,109558.09,2014,,San Francisco,FT,female
136324,136325,patient care assistant,43584.22,5017.47,250,25099.08,48851.69,73950.77,2014,,San Francisco,FT,
122945,122946,electrical transit system mech,81830,4208.77,8167.07,33535.78,94205.84,127741.62,2014,,San Francisco,FT,
121806,121807,"marriage, family & child cnslr",89327.67,6778.39,3176.15,33946.54,99282.21,133228.75,2014,,San Francisco,FT,male
114467,114468,police officer 2,116584,20660.1,9688.1,38356.81,146932.2,185289.01,2014,,San Francisco,FT,male
128204,128205,transit operator,58502.95,13678.65,2714.03,31056.98,74895.63,105952.61,2014,,San Francisco,FT,male
113208,113209,sergeant 3,137982.16,10833.72,8529.63,43529.28,157345.51,200874.79,2014,,San Francisco,FT,male
117317,117318,manager ii,114516.27,0,0,47608.49,114516.27,162124.76,2014,,San Francisco,FT,male
123915,123916,transit supervisor,78942.4,6105.39,5468.17,32327.71,90515.96,122843.67,2014,,San Francisco,FT,male
118037,118038,transit supervisor,90295.84,28759.27,2671.74,34335.64,121726.85,156062.49,2014,,San Francisco,FT,male
121403,121404,"sr counselor, juvenile hall",85656.04,14261.44,3224.57,31711.62,103142.05,134853.67,2014,,San Francisco,FT,male
117951,117952,senior water service inspector,113998.02,4602.53,16.4,38215.56,118616.95,156832.51,2014,,San Francisco,FT,male
120490,120491,statnry eng water treat plant,89320.15,4655.75,11499.73,34163.8,105475.63,139639.43,2014,,San Francisco,FT,male
121254,121255,transit operator,67120.44,27702.17,4796.54,36122.9,99619.15,135742.05,2014,,San Francisco,FT,male
115357,115358,firefighter,109159.61,5943.52,20054.45,42470.27,135157.58,177627.85,2014,,San Francisco,FT,male
110874,110875,senior physician specialist,200684.82,0,5379.09,57413.41,206063.91,263477.32,2014,,San Francisco,FT,male
127231,127232,window cleaner,73868.01,0,4203.91,30928.69,78071.92,109000.61,2014,,San Francisco,FT,male
113368,113369,"electrl trnst mech, asst sprv",94730.01,57263.03,10073,36770.89,162066.04,198836.93,2014,,San Francisco,FT,male
124950,124951,environmental spec,85321.04,0,0,32509.61,85321.04,117830.65,2014,,San Francisco,FT,male
110577,110578,deputy sheriff,94191.13,173178.23,17960.11,38171.49,285329.47,323500.96,2014,,San Francisco,FT,male
120815,120816,airport safety officer,85887.01,31049.12,778.95,20445.05,117715.08,138160.13,2014,,San Francisco,FT,male
131109,131110,permit and citation clerk,66489,94.76,0,28394.2,66583.76,94977.96,2014,,San Francisco,FT,male
116591,116592,police officer 3,118898.18,4389.01,5385.75,38846.23,128672.94,167519.17,2014,,San Francisco,FT,male
123334,123335,emt/paramedic/firefighter,80143,4083.22,8190.66,33276.23,92416.88,125693.11,2014,,San Francisco,FT,male
113280,113281,police officer 3,118383.56,37150.3,5673.59,38666.49,161207.45,199873.94,2014,,San Francisco,FT,male
117367,117368,planner 4,121801.05,0,0,39878.93,121801.05,161679.98,2014,,San Francisco,FT,male
116750,116751,police officer 3,118898.03,6863.09,1802.61,38843.55,127563.73,166407.28,2014,,San Francisco,FT,male
123693,123694,transit supervisor,81007.8,5473.65,4945.85,32542.58,91427.3,123969.88,2014,,San Francisco,FT,male
111871,111872,firefighter,112703.77,40141.7,31314.7,43401.84,184160.17,227562.01,2014,,San Francisco,FT,male
128957,128958,aquatics facility supervisor,72767,0,646.16,29907.37,73413.16,103320.53,2014,,San Francisco,FT,male
118546,118547,materials coordinator,114317.07,0,0,38280.39,114317.07,152597.46,2014,,San Francisco,FT,male
132875,132876,custodian,54703,2448.46,4719.9,26845.58,61871.36,88716.94,2014,,San Francisco,FT,
121389,121390,police officer,88842.09,7998.6,3718.4,34431.72,100559.09,134990.81,2014,,San Francisco,FT,male
132811,132812,senior storekeeper,61036,32.93,0,27813.14,61068.93,88882.07,2014,,San Francisco,FT,
126732,126733,transit operator,61391.62,12527.37,3848.52,32874.91,77767.51,110642.42,2014,,San Francisco,FT,
136053,136054,parking control officer,48217.3,1543.21,160.26,25823.5,49920.77,75744.27,2014,,San Francisco,FT,
120294,120295,deputy sheriff,94191.01,2579.22,8740.76,35572.64,105510.99,141083.63,2014,,San Francisco,FT,male
123838,123839,asst engr,89021.03,0,0,34212.7,89021.03,123233.73,2014,,San Francisco,FT,
111504,111505,attorney (civil/criminal),178296,0,4878.42,52988.52,183174.42,236162.94,2014,,San Francisco,FT,
113270,113271,sergeant 3,137982.15,11656.74,7542.79,42821.07,157181.68,200002.75,2014,,San Francisco,FT,
129123,129124,transit operator,63723.39,4960.46,1551.78,32478.85,70235.63,102714.48,2014,,San Francisco,FT,
122278,122279,contract compliance officer 1,95912.05,0,0,34824.26,95912.05,130736.31,2014,,San Francisco,FT,male
114946,114947,police officer,112164,17475.08,14154.26,37440.9,143793.34,181234.24,2014,,San Francisco,FT,male
123882,123883,transit operator,63393.33,18301.15,6599.69,34740.18,88294.17,123034.35,2014,,San Francisco,FT,male
129885,129886,management assistant,70600.1,0,0,29406.05,70600.1,100006.15,2014,,San Francisco,FT,female
121047,121048,parking enforcement admin,92210.2,5290.52,5418.63,34028.31,102919.35,136947.66,2014,,San Francisco,FT,female
116867,116868,prnpl admin analyst ii,125127.02,0,0,40589.32,125127.02,165716.34,2014,,San Francisco,FT,female
127427,127428,prpl permit and citation clerk,77611.67,271.37,0,30508.21,77883.04,108391.25,2014,,San Francisco,FT,
120481,120482,deputy sheriff,94091.78,1691.19,8591.74,35361.02,104374.71,139735.73,2014,,San Francisco,FT,male
131869,131870,mail & reproduction svc sprv,64381.03,0,0,27947.48,64381.03,92328.51,2014,,San Francisco,FT,male
126931,126932,hsa social worker,76789.09,0,2084,31099.68,78873.09,109972.77,2014,,San Francisco,FT,
117265,117266,police officer 2,116584.01,4582.09,2921.55,38358.08,124087.65,162445.73,2014,,San Francisco,FT,
132845,132846,health worker 2,59437.03,0,1560,27804.26,60997.03,88801.29,2014,,San Francisco,FT,female
131095,131096,senior account clerk,62863.5,3922.49,0,28274.99,66785.99,95060.98,2014,,San Francisco,FT,female
133476,133477,payroll clerk,56181.4,2378.51,822.18,27733.38,59382.09,87115.47,2014,,San Francisco,FT,female
129251,129252,accountant iii,71891.08,44.46,0,30313.24,71935.54,102248.78,2014,,San Francisco,FT,
116964,116965,firefighter,100201.81,10087.94,16189.97,38441.3,126479.72,164921.02,2014,,San Francisco,FT,male
132146,132147,principal account clerk,62241.42,962.43,0,28104.42,63203.85,91308.27,2014,,San Francisco,FT,
112810,112811,registered nurse,140921.72,7236.23,14649.57,45070.13,162807.52,207877.65,2014,,San Francisco,FT,
118081,118082,registered nurse,109721.68,3836.7,1484.14,40683.67,115042.52,155726.19,2014,,San Francisco,FT,
112426,112427,registered nurse,141482,7311.68,17351.06,48520.8,166144.74,214665.54,2014,,San Francisco,FT,
122627,122628,protective services worker,94691.02,0,0,34555.2,94691.02,129246.22,2014,,San Francisco,FT,female
116481,116482,manager i,119078.01,0,1055.29,48267.51,120133.3,168400.81,2014,,San Francisco,FT,female
124544,124545,"investigator, tax collector",79088.91,6398.41,2435.51,31591.98,87922.83,119514.81,2014,,San Francisco,FT,female
116673,116674,public safetycomm disp,88845.93,36003.26,7229.06,34854.34,132078.25,166932.59,2014,,San Francisco,FT,female
128701,128702,principal account clerk,73471.03,0,624,30056.33,74095.03,104151.36,2014,,San Francisco,FT,female
130136,130137,it operations support admin ii,69847.05,0,0,29127.86,69847.05,98974.91,2014,,San Francisco,FT,female
114857,114858,is project director,138536.02,0,0,43453.48,138536.02,181989.5,2014,,San Francisco,FT,
113327,113328,registered nurse,141482,8238,2145.18,47479.85,151865.18,199345.03,2014,,San Francisco,FT,
130692,130693,health care billing clerk 2,64556,3454.01,0,28657.99,68010.01,96668,2014,,San Francisco,FT,
134328,134329,secretary 1,56883.03,0,624,26431.19,57507.03,83938.22,2014,,San Francisco,FT,
134539,134540,senior clerk,54443.04,0,1664,27036.39,56107.04,83143.43,2014,,San Francisco,FT,
127657,127658,management assistant,77027.65,0,0,30541.71,77027.65,107569.36,2014,,San Francisco,FT,
132291,132292,legal assistant,66958.41,0,0,23771.19,66958.41,90729.6,2014,,San Francisco,FT,
120017,120018,deputy sheriff,90080.61,17190.76,12280.08,23511.84,119551.45,143063.29,2014,,San Francisco,FT,
122938,122939,public relations officer,93156.01,0,320,34293.8,93476.01,127769.81,2014,,San Francisco,FT,male
114559,114560,train controller,105355.5,25646.01,13219.26,40204.19,144220.77,184424.96,2014,,San Francisco,FT,male
118456,118457,deputy sheriff,94191.01,14474.56,9034.04,35505.31,117699.61,153204.92,2014,,San Francisco,FT,male
126151,126152,transit operator,66399.51,9067.51,2408.5,35047.26,77875.52,112922.78,2014,,San Francisco,FT,male
115246,115247,supervising purchaser,122992.1,0,12914.85,42597.96,135906.95,178504.91,2014,,San Francisco,FT,male
121332,121333,automotive mechanic,78522,3516.66,18478.49,34740.32,100517.15,135257.47,2014,,San Francisco,FT,male
134088,134089,custodian,54703,0,3564.9,26594.78,58267.9,84862.68,2014,,San Francisco,FT,male
120980,120981,asst engr,97333,0,3949.12,35996.39,101282.12,137278.51,2014,,San Francisco,FT,male
134641,134642,recreation specialist,56772.33,0,295.9,25739.34,57068.23,82807.57,2014,,San Francisco,FT,male
130614,130615,principal clerk,65032,2676.04,1000,28294.46,68708.04,97002.5,2014,,San Francisco,FT,male
116243,116244,traffic signal electrician,102679.05,29404.95,1839.14,36358.08,133923.14,170281.22,2014,,San Francisco,FT,
123707,123708,transit operator,63521.33,23947.09,2767.94,33666.49,90236.36,123902.85,2014,,San Francisco,FT,male
116979,116980,electrical transit system mech,81830,40516.82,8783,33669.67,131129.82,164799.49,2014,,San Francisco,FT,male
134103,134104,patient care assistant,52003.35,2341.06,3957.7,26503.17,58302.11,84805.28,2014,,San Francisco,FT,
127271,127272,community police services aide,65699.06,6475.34,6933.98,29701.71,79108.38,108810.09,2014,,San Francisco,FT,
135612,135613,porter,50747.5,554.7,0,27215.21,51302.2,78517.41,2014,,San Francisco,FT,
131822,131823,sr. microphoto/imaging tech.,64087.9,528.43,0,27869.46,64616.33,92485.79,2014,,San Francisco,FT,
129447,129448,licensed vocational nurse,71471.93,0,859.6,29305.45,72331.53,101636.98,2014,,San Francisco,FT,
135107,135108,clerk typist,54443.02,0,0,26644.95,54443.02,81087.97,2014,,San Francisco,FT,
130108,130109,medical records technician,69299,0,624,29144.66,69923,99067.66,2014,,San Francisco,FT,
126518,126519,it operations support admn iii,79642.77,0,0,31858.78,79642.77,111501.55,2014,,San Francisco,FT,
122257,122258,sr personal property auditor,95553.31,0,440,34850.98,95993.31,130844.29,2014,,San Francisco,FT,
123016,123017,public relations officer,93156.01,0,0,34222.04,93156.01,127378.05,2014,,San Francisco,FT,male
125186,125187,engineering assistant,72624.02,14537.49,0,29734.88,87161.51,116896.39,2014,,San Francisco,FT,male
121797,121798,transit operator,65944.8,29010.64,3280.94,35070.9,98236.38,133307.28,2014,,San Francisco,FT,male
115847,115848,architect,130126.02,0,0,42963.5,130126.02,173089.52,2014,,San Francisco,FT,male
135187,135188,custodian,53693.64,961.05,620.74,25479.28,55275.43,80754.71,2014,,San Francisco,FT,male
125598,125599,water service inspector,82919,0,155,32029.24,83074,115103.24,2014,,San Francisco,FT,male
115406,115407,firefighter,112167.79,9212.98,14044.86,41716.35,135425.63,177141.98,2014,,San Francisco,FT,male
118116,118117,heavy equipment ops sprv,106035.01,0,10603.52,38776.22,116638.53,155414.75,2014,,San Francisco,FT,male
134512,134513,human services technician,50819.49,6422.47,0,25979.54,57241.96,83221.5,2014,,San Francisco,FT,male
131382,131383,fare collections receiver,60771.01,46.65,4936.49,28222.06,65754.15,93976.21,2014,,San Francisco,FT,male
126293,126294,public relations officer,80150.8,0,0,32182.98,80150.8,112333.78,2014,,San Francisco,FT,male
137189,137190,patient care assistant,44293.01,9598.81,256.76,11743.15,54148.58,65891.73,2014,,San Francisco,FT,male
127863,127864,police officer,75925.52,22.06,789.27,30205.72,76736.85,106942.57,2014,,San Francisco,FT,male
118219,118220,electrical transit system mech,81830,29674.07,8484.2,34805.42,119988.27,154793.69,2014,,San Francisco,FT,male
126701,126702,transit operator,61389.49,17251.36,286.3,31840.11,78927.15,110767.26,2014,,San Francisco,FT,male
128034,128035,firefighter,65039.76,10573.3,1531.23,29292.52,77144.29,106436.81,2014,,San Francisco,FT,male
113922,113923,emt/paramedic/firefighter,130229.86,8261.47,7813.8,45748.75,146305.13,192053.88,2014,,San Francisco,FT,male
130151,130152,librarian 1,79241.55,0,741.33,18934.41,79982.88,98917.29,2014,,San Francisco,FT,male
122990,122991,apprentice stationary engineer,78601.95,11446.74,5280.36,32170.92,95329.05,127499.97,2014,,San Francisco,FT,male
119889,119890,plumber,97557.01,5053.08,4170.71,37162.22,106780.8,143943.02,2014,,San Francisco,FT,male
116553,116554,electronic maintenance tech,104451,18692.61,6467.75,38111.44,129611.36,167722.8,2014,,San Francisco,FT,male
118852,118853,electrical inspector,109163.01,14781.94,2183.24,25043.82,126128.19,151172.01,2014,,San Francisco,FT,male
128574,128575,parking control officer,59540.81,15458.88,2286.14,27342.48,77285.83,104628.31,2014,,San Francisco,FT,male
129579,129580,senior legal process clerk,62412.07,5786.63,4478.19,28476.71,72676.89,101153.6,2014,,San Francisco,FT,male
125394,125395,administrative analyst,83079.51,0,0,32859.23,83079.51,115938.74,2014,,San Francisco,FT,male
117219,117220,emt/paramedic/firefighter,111853.86,3803.67,8692.58,38482.22,124350.11,162832.33,2014,,San Francisco,FT,male
114670,114671,manager iii,132690.03,0,0,50917.46,132690.03,183607.49,2014,,San Francisco,FT,male
133457,133458,custodian,54703,2403.92,3003.85,27071.55,60110.77,87182.32,2014,,San Francisco,FT,male
126279,126280,legal assistant,80852,0,0,31532.9,80852,112384.9,2014,,San Francisco,FT,male
121960,121961,asst engr,97333.02,0,0,35134.88,97333.02,132467.9,2014,,San Francisco,FT,male
111881,111882,engineer/architect principal,176069,0,0,51470.1,176069,227539.1,2014,,San Francisco,FT,male
134844,134845,porter,48004.6,4654.94,2319.39,26932.33,54978.93,81911.26,2014,,San Francisco,FT,male
131961,131962,gardener,63978.05,0,170,27883.46,64148.05,92031.51,2014,,San Francisco,FT,male
120797,120798,social work specialist,82589.04,1196.13,22543.75,31912.76,106328.92,138241.68,2014,,San Francisco,FT,male
110560,110561,controller,267914,0,0,79799.88,267914,347713.88,2014,,San Francisco,FT,male
119335,119336,construction inspector,98271,11661.94,1927.93,35761.08,111860.87,147621.95,2014,,San Francisco,FT,male
113173,113174,sergeant 3,137982.17,4913.78,14903.05,43778.13,157799,201577.13,2014,,San Francisco,FT,male
115555,115556,police officer,112164.13,17936.81,8164.04,37438.59,138264.98,175703.57,2014,,San Francisco,FT,male
134205,134206,custodian,50187,1603.48,4365.3,28223.92,56155.78,84379.7,2014,,San Francisco,FT,male
125017,125018,senior administrative analyst,84379.9,0,0,33149.44,84379.9,117529.34,2014,,San Francisco,FT,male
114585,114586,mayoral staff xvi,133135.78,0,0,51047.84,133135.78,184183.62,2014,,San Francisco,FT,male
129218,129219,sr fare collections receiver,70348.02,2020.2,624,29373.94,72992.22,102366.16,2014,,San Francisco,FT,male
123122,123123,transit operator,66197.68,19162.67,5621.56,35890.09,90981.91,126872,2014,,San Francisco,FT,male
121600,121601,asphalt plant supervisor 1,97333,105.02,1610.29,35134.88,99048.31,134183.19,2014,,San Francisco,FT,male
116886,116887,police officer 2,116584,5822.19,4832.21,38363.24,127238.4,165601.64,2014,,San Francisco,FT,male
114928,114929,manager iii,131000.82,0,0,50388.8,131000.82,181389.62,2014,,San Francisco,FT,male
122051,122052,construction inspector,96259,0,0,35873.36,96259,132132.36,2014,,San Francisco,FT,male
113292,113293,registered nurse,142009.5,9029.25,4388.46,44291.18,155427.21,199718.39,2014,,San Francisco,FT,male
125363,125364,eligibility worker supervisor,82589.01,0,1300,32197.85,83889.01,116086.86,2014,,San Francisco,FT,male
119687,119688,physical therapist,108337.07,0,0,37003.09,108337.07,145340.16,2014,,San Francisco,FT,male
114291,114292,registered nurse,129115,5389.08,8460.76,44460.12,142964.84,187424.96,2014,,San Francisco,FT,
119145,119146,public safetycomm disp,87604.61,14407.26,11528.7,35331.52,113540.57,148872.09,2014,,San Francisco,FT,male
125741,125742,program specialist,82589.06,0,72,31928.9,82661.06,114589.96,2014,,San Francisco,FT,
134060,134061,storekeeper,57309,498.38,624,26524.3,58431.38,84955.68,2014,,San Francisco,FT,female
126962,126963,transit operator,63868.33,11597.9,467.24,33922.71,75933.47,109856.18,2014,,San Francisco,FT,female
122721,122722,electrical transit system mech,81830,7181.41,6591.8,33191.77,95603.21,128794.98,2014,,San Francisco,FT,female
126743,126744,hsa emp & training spec ii,78806.51,0,621.71,31170.13,79428.22,110598.35,2014,,San Francisco,FT,male
122909,122910,asst engr,92873.71,0,0,35089.96,92873.71,127963.67,2014,,San Francisco,FT,male
114986,114987,police officer 3,118898.1,14163.79,8995.9,38833.06,142057.79,180890.85,2014,,San Francisco,FT,male
135342,135343,custodian,48633,861.79,3485.66,27050.1,52980.45,80030.55,2014,,San Francisco,FT,male
114466,114467,police officer 3,118898.12,19067.31,8401.32,38923.59,146366.75,185290.34,2014,,San Francisco,FT,male
128682,128683,transit operator,66336.39,679.85,2226.12,34960.68,69242.36,104203.04,2014,,San Francisco,FT,male
119478,119479,is business analyst-senior,108561,0,0,38136.67,108561,146697.67,2014,,San Francisco,FT,male
129020,129021,customer service agent,70932.4,420.81,1996.99,29719.82,73350.2,103070.02,2014,,San Francisco,FT,male
129741,129742,"counselor, juvenile hall sfers",58903.19,12856.05,1665.69,27088.06,73424.93,100512.99,2014,,San Francisco,FT,male
121348,121349,senior administrative analyst,98753.02,0,0,36432.63,98753.02,135185.65,2014,,San Francisco,FT,male
125328,125329,transit supervisor,70833.34,8948.44,3897.25,32541.5,83679.03,116220.53,2014,,San Francisco,FT,male
127094,127095,library technical assistant 2,76411.01,1319.25,950.97,30770.55,78681.23,109451.78,2014,,San Francisco,FT,male
128368,128369,transit operator,65381.42,930.3,3496.56,35533.13,69808.28,105341.41,2014,,San Francisco,FT,male
126868,126869,fingerprint technician 3,69977,2756.83,6708.92,30621.03,79442.75,110063.78,2014,,San Francisco,FT,male
113821,113822,is engineer-senior,124464,787.16,27557.48,40471.07,152808.64,193279.71,2014,,San Francisco,FT,male
128307,128308,hsa sr eligibility worker,74587.06,0,624,30300.29,75211.06,105511.35,2014,,San Francisco,FT,male
117290,117291,deputy sheriff,94191.02,18239.73,12468.26,37365.68,124899.01,162264.69,2014,,San Francisco,FT,male
121374,121375,"investigator, tax collector",95330.42,0,0,39740.55,95330.42,135070.97,2014,,San Francisco,FT,
120717,120718,"stationary eng, sewage plant",96437.4,300.23,5747.6,36193.16,102485.23,138678.39,2014,,San Francisco,FT,
125586,125587,survey assistant ii,82052,826.09,377.17,31878.88,83255.26,115134.14,2014,,San Francisco,FT,
117739,117740,registered nurse,112139.61,3994.31,2825.87,39899.67,118959.79,158859.46,2014,,San Francisco,FT,
111340,111341,"lieutenant, fire suppression",130961,45525.6,16944.39,47694.31,193430.99,241125.3,2014,,San Francisco,FT,
124713,124714,water quality tech iii,86150,0,0,32690.78,86150,118840.78,2014,,San Francisco,FT,
121956,121957,asst engr,97333.02,0,0,35134.88,97333.02,132467.9,2014,,San Francisco,FT,
128362,128363,hsa sr eligibility worker,73128.05,1048.79,1320,29862.32,75496.84,105359.16,2014,,San Francisco,FT,
129040,129041,maintenance scheduler,73189.12,0,0,29806.6,73189.12,102995.72,2014,,San Francisco,FT,female
130326,130327,deputy sheriff 1,62384,4092.44,2837.97,28836.27,69314.41,98150.68,2014,,San Francisco,FT,female
118512,118513,manager ii,106621.15,0,0,46188.27,106621.15,152809.42,2014,,San Francisco,FT,female
128149,128150,human services technician,63332.01,14295.11,624,27840.53,78251.12,106091.65,2014,,San Francisco,FT,female
118985,118986,is business analyst-principal,112518.39,0,0,37524.24,112518.39,150042.63,2014,,San Francisco,FT,female
117266,117267,senior physical therapist,121433.38,0,0,41003.76,121433.38,162437.14,2014,,San Francisco,FT,female
122869,122870,is business analyst,93775.01,0,0,34357.33,93775.01,128132.34,2014,,San Francisco,FT,female
134688,134689,account clerk,56179.68,242.55,0,26137.91,56422.23,82560.14,2014,,San Francisco,FT,female
121493,121494,transit operator,66137.55,22791.37,8728.36,36767.08,97657.28,134424.36,2014,,San Francisco,FT,female
113617,113618,sergeant 3,137318.77,8638.4,7261.03,42692.72,153218.2,195910.92,2014,,San Francisco,FT,female
127348,127349,community police services aide,65699.08,5087.67,7266.86,30589.96,78053.61,108643.57,2014,,San Francisco,FT,female
121968,121969,asst engr,97333.01,0,0,35134.88,97333.01,132467.89,2014,,San Francisco,FT,female
132089,132090,unit clerk,60795.38,0,3503.84,27275.74,64299.22,91574.96,2014,,San Francisco,FT,
119087,119088,deputy sheriff,94191,1413.72,17101.52,36575.55,112706.24,149281.79,2014,,San Francisco,FT,male
113089,113090,eng/arch/landscape arch sr,155664.71,0,0,47090.82,155664.71,202755.53,2014,,San Francisco,FT,male
128733,128734,transit operator,58908.09,11099.91,2705.34,31288.77,72713.34,104002.11,2014,,San Francisco,FT,male
131251,131252,parking control officer,59555.21,7096.54,855.13,27037.92,67506.88,94544.8,2014,,San Francisco,FT,male
123194,123195,transit operator,66604.36,20578.47,3700.18,35525.08,90883.01,126408.09,2014,,San Francisco,FT,male
